,Campus,Identificador,Codigo_Curso,Curso,Ano_Admissao,Sem_Admissao,Codigo_Forma_Ingresso,Forma_Ingresso,Ano_Conclusao,Sem_Conclusao,Codigo_Situacao_Aluno,Situacao_Aluno,Sexo,Idade,CRA,ENEM,Modalidade,PCD,10) Voce se considera:,23) A renda bruta mensal (sem descontos) de seu grupo familiar:,Escola,Reingressante,Bolsista - Moradia,Bolsista - Alimentacao,Iniciacao Científica,Extensão
2130,CRP,30009587,105,Sistemas de Informacao - Noturno,2021,1,L,SISU - Sistema_de_Selecao_Unificada           ,,,N,Normal                                            ,F,19.0,0,"647,64",9,N,,,Privada,N,N,N,N,N
2131,CRP,30009605,105,Sistemas de Informacao - Noturno,2021,1,L,SISU - Sistema_de_Selecao_Unificada           ,,,N,Normal                                            ,F,18.0,0,"541,86",3,N,,,publica,N,N,N,N,N
2132,CRP,30009615,105,Sistemas de Informacao - Noturno,2021,1,L,SISU - Sistema_de_Selecao_Unificada           ,,,N,Normal                                            ,F,20.0,0,"594,76",9,N,,,Privada,N,N,N,N,N
2133,CRP,30009617,105,Sistemas de Informacao - Noturno,2021,1,L,SISU - Sistema_de_Selecao_Unificada           ,,,N,Normal                                            ,F,18.0,0,"507,36",9,N,,,publica,N,N,N,N,N
2286,CRP,30009957,105,Sistemas de Informacao - Noturno,2021,1,L,SISU - Sistema_de_Selecao_Unificada           ,,,N,Normal                                            ,F,23.0,0,"518,42",5,N,b. Preto(a).,c. Entre 3 e 5 Salarios Minimos,publica,N,N,N,N,N
2296,CRP,30009981,105,Sistemas de Informacao - Noturno,2021,1,L,SISU - Sistema_de_Selecao_Unificada           ,,,N,Normal                                            ,F,20.0,0,"537,1",9,N,c. Pardo(a).,a. ate 1 Salario Minimo,publica,N,N,N,N,N
2517,CRP,30004138,105,Sistemas de Informacao - Noturno,2014,1,V,Vestibular                                        ,2015.0,2,M,Mudanca de Curso                                  ,M,25.0,"47,1","46,412",9,N,a. Branco(a).,b. Entre 1 e 3 Salarios Minimos,publica,N,N,N,N,N
2518,CRP,30004139,105,Sistemas de Informacao - Noturno,2014,1,V,Vestibular                                        ,2018.0,1,C,Conclusao                                      ,M,25.0,"67,3","44,768",9,N,a. Branco(a).,b. Entre 1 e 3 Salarios Minimos,publica,N,N,N,N,N
2519,CRP,30004140,105,Sistemas de Informacao - Noturno,2014,1,V,Vestibular                                        ,2018.0,2,C,Conclusao                                      ,M,25.0,"75,8","45,728",9,N,c. Pardo(a).,f. Entre 10 e 20 Salarios Minimos,Privada,N,N,N,N,N
2520,CRP,30004144,105,Sistemas de Informacao - Noturno,2014,1,L,SISU - Sistema_de_Selecao_Unificada           ,2014.0,2,A,Estudante em abandono de curso                    ,M,34.0,"18,7","581,22",5,N,,,publica,N,N,N,N,N
2521,CRP,30004145,105,Sistemas de Informacao - Noturno,2014,1,L,SISU - Sistema_de_Selecao_Unificada           ,2017.0,2,C,Conclusao                                      ,M,25.0,"70,4",599,9,N,a. Branco(a).,b. Entre 1 e 3 Salarios Minimos,Privada,N,N,N,N,N
2522,CRP,30004148,105,Sistemas de Informacao - Noturno,2014,1,L,SISU - Sistema_de_Selecao_Unificada           ,2015.0,2,M,Mudanca de Curso                                  ,M,26.0,"50,1","626,66",9,N,a. Branco(a).,b. Entre 1 e 3 Salarios Minimos,publica,N,N,N,N,N
2523,CRP,30004148,105,Sistemas de Informacao - Noturno,2014,1,L,SISU - Sistema_de_Selecao_Unificada           ,2015.0,2,M,Mudanca de Curso                                  ,M,26.0,"50,1","626,66",9,N,a. Branco(a).,c. Entre 3 e 5 Salarios Minimos,publica,N,N,N,N,N
2524,CRP,30004148,105,Sistemas de Informacao - Noturno,2014,1,L,SISU - Sistema_de_Selecao_Unificada           ,2015.0,2,M,Mudanca de Curso                                  ,M,26.0,"50,1","626,66",9,N,c. Pardo(a).,b. Entre 1 e 3 Salarios Minimos,publica,N,N,N,N,N
