Campus,Identificador,Codigo_Curso,Curso,Ano_Admissao,Sem_Admissao,Codigo_Forma_Ingresso,Forma_Ingresso,Ano_Conclusao,Sem_Conclusao,Codigo_Situacao_Aluno,Situacao_Aluno,Sexo,Idade,CRA,ENEM,Modalidade,PCD,10) Você se considera:,23) A renda bruta mensal (sem descontos) de seu grupo familiar:,Escola,Reingressante,Bolsista - Moradia,Bolsista - Alimentação,Iniciação Científica,Extensão
CRP,30006802,112,Nutrição,2017,1,Y,Processo Seletivo Alternativo - SiSU              ,2017,2,A,Estudante em abandono de curso                    ,F,25,"62,5","473,24",9,N,a. Branco(a).,a. Até 1 Salário Mínimo,Pública,S,N,N,N,N
CRP,30006803,112,Nutrição,2017,1,Y,Processo Seletivo Alternativo - SiSU              ,2019,1,C,Conclusão                                         ,F,27,"71,4","498,84",9,N,a. Branco(a).,d. Entre 5 e 7 Salários Mínimos.,Privada,S,N,N,N,N
CRP,30006804,109,Ciências Contábeis,2017,1,Y,Processo Seletivo Alternativo - SiSU              ,2019,2,D,Desligamento                                      ,F,49,42,"504,3",5,N,b. Preto(a).,b. Entre 1 e 3 Salários Mínimos.,Pública,N,N,N,N,N
CRP,30006806,110,Ciências Biológicas,2017,1,L,SISU - Sistema de Seleção Unificada               ,2017,2,A,Estudante em abandono de curso                    ,F,26,"42,4","515,68",5,N,c. Pardo(a).,b. Entre 1 e 3 Salários Mínimos.,Pública,S,N,N,N,N
CRP,30006811,109,Ciências Contábeis,2017,1,L,SISU - Sistema de Seleção Unificada               ,,,N,Normal                                            ,F,31,"55,4","585,82",9,N,a. Branco(a).,c. Entre 3 e 5 Salários Mínimos.,Pública,S,N,N,N,N
CRP,30006813,110,Ciências Biológicas,2017,1,L,SISU - Sistema de Seleção Unificada               ,,,N,Normal                                            ,F,30,"62,5","532,84",9,N,d. Amarelo(a).,a. Até 1 Salário Mínimo,Pública,S,N,N,N,N
CRP,30006815,111,Engenharia de Produção,2017,1,L,SISU - Sistema de Seleção Unificada               ,2017,2,A,Estudante em abandono de curso                    ,F,24,"62,5","590,5",5,N,d. Amarelo(a).,c. Entre 3 e 5 Salários Mínimos.,Pública,N,N,N,N,N
CRP,30006816,109,Ciências Contábeis,2017,1,Y,Processo Seletivo Alternativo - SiSU              ,2020,2,A,Estudante em abandono de curso                    ,F,25,"51,3","555,86",9,N,a. Branco(a).,b. Entre 1 e 3 Salários Mínimos.,Pública,S,N,N,N,N
CRP,30006820,103,Agronomia,2017,1,Y,Processo Seletivo Alternativo - SiSU              ,2018,1,D,Desligamento                                      ,F,23,"44,1","561,7",3,N,a. Branco(a).,b. Entre 1 e 3 Salários Mínimos.,Pública,N,N,N,N,N
CRP,30006821,106,Ciência e Tecnologia de Alimentos,2017,1,L,SISU - Sistema de Seleção Unificada               ,2018,2,C,Conclusão                                         ,F,27,"70,8","548,6",9,N,a. Branco(a).,c. Entre 3 e 5 Salários Mínimos.,Privada,S,N,N,N,N
CRP,30006827,112,Nutrição,2017,1,L,SISU - Sistema de Seleção Unificada               ,2020,3,D,Desligamento                                      ,F,22,"50,4","497,92",1,N,c. Pardo(a).,a. Até 1 Salário Mínimo,Pública,N,N,N,N,N
CRP,30006828,102,Administração - Noturno,2017,1,L,SISU - Sistema de Seleção Unificada               ,2017,1,D,Desligamento                                      ,F,33,0,"542,22",9,N,b. Preto(a).,b. Entre 1 e 3 Salários Mínimos.,Pública,S,N,N,N,N
CRP,30006831,112,Nutrição,2017,1,Y,Processo Seletivo Alternativo - SiSU              ,2019,1,D,Desligamento                                      ,F,28,"33,7","427,2",9,N,c. Pardo(a).,b. Entre 1 e 3 Salários Mínimos.,Pública,S,N,N,N,N
